[I 16:50:48.091 NotebookApp] The port 8888 is already in use, trying another port.
[I 16:50:48.091 NotebookApp] The port 8889 is already in use, trying another port.
[I 16:50:48.099 NotebookApp] Serving notebooks from local directory: /home/alexge/Workspace/Distributed-System/Spark/01-ML-theory/02-machine-learning/edx-workspace/03-Clustering
[I 16:50:48.099 NotebookApp] 0 active kernels 
[I 16:50:48.099 NotebookApp] The Jupyter Notebook is running at: http://localhost:8890/?token=2ff6b3c9d79f6dbd4ae5767f68feb2641a9b5555e32350ee
[I 16:50:48.099 NotebookApp] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[C 16:50:48.099 NotebookApp] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8890/?token=2ff6b3c9d79f6dbd4ae5767f68feb2641a9b5555e32350ee
Created new window in existing browser session.
[I 16:50:48.404 NotebookApp] Accepting one-time-token-authenticated connection from 127.0.0.1
[I 16:52:21.871 NotebookApp] Creating new notebook in 
[W 16:52:22.265 NotebookApp] 404 GET /nbextensions/widgets/notebook/js/extension.js?v=20170406165047 (127.0.0.1) 7.98ms referer=http://localhost:8890/notebooks/Untitled.ipynb?kernel_name=python2
[I 16:52:22.327 NotebookApp] Kernel started: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 16:54:22.331 NotebookApp] Saving file at /Untitled.ipynb
[I 16:59:52.532 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:00:22.966 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:02:22.325 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:02:22.494 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:02:23.848 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:06:22.323 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:06:40.722 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 17:07:32.019 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:08:39.236 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 17:08:48.499 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 17:10:22.334 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:14:22.329 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:14:33.805 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:16:22.329 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:18:22.330 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:20:22.332 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:22:22.328 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:22:28.280 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:24:22.344 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:24:48.406 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:26:22.330 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:28:22.332 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:30:22.969 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:35:22.460 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:35:24.053 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:36:22.334 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:37:08.903 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:37:19.268 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:37:25.658 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:37:26.606 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:37:27.455 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:37:32.951 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:37:36.601 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:37:40.478 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:37:55.327 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:38:03.764 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:38:22.324 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:38:49.952 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:39:10.804 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:39:14.059 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:39:15.010 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:39:36.473 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:39:42.313 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:39:58.222 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:40:05.729 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:40:22.332 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:40:34.698 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:40:55.447 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 17:41:05.425 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:41:08.579 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 17:41:26.014 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 17:41:39.523 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:41:43.209 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 17:42:22.322 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:42:35.321 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:42:38.859 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:42:44.803 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:42:53.072 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:43:15.165 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:43:20.529 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:44:14.953 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:44:16.457 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:44:19.742 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:44:56.353 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:45:11.097 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:45:32.910 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:45:45.950 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:46:22.331 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:46:52.839 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:46:59.259 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:47:05.079 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:48:45.031 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:49:06.687 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:49:13.022 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:49:26.083 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:49:30.644 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:49:36.788 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:49:46.029 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:50:22.330 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:50:54.805 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:51:52.102 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:52:08.275 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:52:33.598 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:52:49.316 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:53:07.454 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:53:16.712 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:53:24.630 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:53:57.758 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:54:03.395 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:54:10.646 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:54:13.838 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:54:44.552 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:54:47.670 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:54:55.773 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:55:16.392 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:56:14.530 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:56:17.277 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:56:29.143 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:56:33.020 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:56:36.726 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:56:40.350 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:56:45.706 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:57:38.566 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:57:51.462 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:58:01.758 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:58:07.401 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:58:36.933 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:58:44.956 NotebookApp] Saving file at /03-Clustering.ipynb
[I 17:59:13.309 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:00:13.830 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:00:20.257 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:00:47.346 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:00:53.752 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:01:01.216 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:01:07.051 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:01:49.539 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:01:56.462 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:02:05.305 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:02:10.921 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:02:20.601 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:02:26.000 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:02:33.557 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:03:41.269 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:03:51.783 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:04:22.331 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:04:26.989 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:04:35.755 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:04:40.737 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:05:09.818 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:05:18.933 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:05:24.609 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:05:33.310 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 18:06:22.318 NotebookApp] Saving file at /03-Clustering.ipynb
[I 18:26:22.330 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:20:38.473 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:20:47.291 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:22:07.669 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:22:11.975 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:22:22.333 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:24:22.331 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:25:43.388 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:25:54.402 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:26:12.493 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:26:22.332 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:26:30.651 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:26:53.310 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:27:49.875 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:28:22.331 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:28:24.191 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:29:21.939 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:29:26.655 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:30:22.332 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:32:22.331 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:33:29.987 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:34:22.331 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:36:20.394 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:36:31.442 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:37:18.634 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:37:26.037 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:38:22.332 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:39:54.152 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:40:22.333 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:42:09.163 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:42:20.459 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:42:49.724 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:43:28.610 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:44:12.388 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:44:15.521 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:44:22.320 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:46:22.972 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:46:48.208 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:47:42.922 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:48:00.697 NotebookApp] Saving file at /03-Clustering.ipynb
